"","Date","Category","Credit","Debit"
"325","01/20/2023","Internal Transfers/",NA,-30
"326","01/20/2023","Transportation/",NA,-80.32
"327","01/20/2023","Payments & Transfers/",NA,-84
"328","01/20/2023","Transportation/",NA,-1
"329","01/19/2023","Transportation/",NA,-46.35
"330","01/18/2023","Dining/",NA,-28.61
"331","01/18/2023","Health & Lifestyle/",NA,-3.75
"332","01/18/2023","Paycheck, Pensions & Annuity/",704.23,NA
"333","01/17/2023","Transportation/",NA,-3.15
"334","01/17/2023","Groceries/",NA,-32.68
"335","01/17/2023","Health & Lifestyle/",NA,-11.86
"336","01/17/2023","Health & Lifestyle/",NA,-7.24
"337","01/13/2023","Shopping/",NA,-105.49
"338","01/13/2023","Shopping/",NA,-27
"339","01/13/2023","Groceries/",NA,-2.83
"340","01/12/2023","Shopping/",NA,-15.77
"341","01/12/2023","Health & Lifestyle/",NA,-10.81
"342","01/11/2023","Health & Lifestyle/",NA,-9.16
"343","01/10/2023","Groceries/",NA,-15.97
"344","01/10/2023","Health & Lifestyle/",NA,-9.05
"345","01/09/2023","Transportation/",NA,-17.22
"346","01/09/2023","Transportation/",NA,-5.05
"347","01/09/2023","Shopping/",NA,-27.71
"348","01/09/2023","Transportation/",NA,-50.25
"349","01/06/2023","Payments & Transfers/",NA,-50
"350","01/06/2023","Health & Lifestyle/",NA,-16.34
"351","01/06/2023","Health & Lifestyle/",NA,-7.21
"352","01/05/2023","Savings & Investments/",NA,-30
"353","01/05/2023","Transportation/",NA,-6.31
"354","01/05/2023","Health & Lifestyle/",NA,-4.5
"355","01/04/2023","Fees & Charges/",NA,-0.25
"356","01/04/2023","Payments & Transfers/",NA,-8.43
"357","01/04/2023","Health & Lifestyle/",NA,-8.37
"358","01/04/2023","Shopping/",NA,-1
"359","01/04/2023","Paycheck, Pensions & Annuity/",686.91,NA
"360","01/03/2023","Office Expenses/",NA,-10.54
"361","01/03/2023","Office Expenses/",NA,-17.52
"362","01/03/2023","Entertainment/",NA,-17
"363","01/03/2023","Transportation/",NA,-2.83
"364","01/03/2023","Entertainment/",NA,-1.05
"365","12/30/2022","Health & Lifestyle/",NA,-1.5
"366","12/30/2022","Health & Lifestyle/",NA,-8.25
"367","12/29/2022","Transportation/",NA,-6.36
"368","12/29/2022","Shopping/",NA,-17.88
"369","12/29/2022","Health & Lifestyle/",NA,-8.25
"370","12/28/2022","Entertainment/",NA,-10.54
"371","12/28/2022","Shopping/",NA,-41.15
"372","12/28/2022","Groceries/",NA,-30.1
"373","12/27/2022","Fees & Charges/",NA,-0.63
"374","12/27/2022","Payments & Transfers/",NA,-21.09
"375","12/27/2022","Deposits/",50,NA
"376","12/22/2022","Payments & Transfers/",NA,-84
"377","12/22/2022","Transportation/",NA,-3.89
"378","12/22/2022","Transportation/",NA,-163.6
"379","12/22/2022","Health & Lifestyle/",NA,-8.25
"380","12/21/2022","Groceries/",NA,-14.74
"381","12/21/2022","Health & Lifestyle/",NA,-8.25
"382","12/21/2022","Shopping/",NA,-16.87
"383","12/21/2022","Paycheck, Pensions & Annuity/",213.22,NA
"384","12/20/2022","Health & Lifestyle/",NA,-8.25
"385","12/19/2022","Shopping/",NA,-48.33
"386","12/19/2022","Shopping/",NA,-62.21
"387","12/19/2022","Dining/",NA,-4.96
"388","12/19/2022","Dining/",NA,-5.55
"389","12/19/2022","Dining/",NA,-17.53
"390","12/19/2022","Transportation/",NA,-3.39
"391","12/19/2022","Transportation/",NA,-31.1
"392","12/16/2022","Office Expenses/",NA,-42.48
"393","12/16/2022","Shopping/",NA,-8.4
"394","12/16/2022","Transportation/",NA,-20.01
"395","12/16/2022","Shopping/",NA,-14.76
"396","12/14/2022","Household/",NA,-6.16
"397","12/14/2022","Groceries/",NA,-28.84
"398","12/12/2022","Shopping/",NA,-15.77
"399","12/12/2022","Dining/",NA,-2.5
"400","12/12/2022","Deposits/",50,NA
"401","12/09/2022","Dining/",NA,-34
"402","12/09/2022","Dining/",NA,-5.57
"403","12/09/2022","Groceries/",NA,-35.98
"404","12/09/2022","Dining/",NA,-5.57
"405","12/09/2022","Payments & Transfers/",43,NA
"406","12/08/2022","Dining/",NA,-2.5
"407","12/08/2022","Dining/",NA,-11.99
"408","12/08/2022","Transportation/",NA,-42.93
"409","12/07/2022","Savings & Investments/",NA,-30
"410","12/07/2022","Paycheck, Pensions & Annuity/",553.59,NA
"411","12/06/2022","Health & Lifestyle/",NA,-9.75
"412","12/06/2022","Transportation/",NA,-5.38
"413","12/06/2022","Transportation/",NA,-39.69
"414","12/05/2022","Office Expenses/",NA,-2
"415","12/05/2022","Office Expenses/",NA,-2
"416","12/05/2022","Dining/",NA,-4.5
"417","12/05/2022","Education/",NA,-75
"418","12/05/2022","Education/",NA,-3
"419","12/05/2022","Dining/",NA,-2.5
"420","12/05/2022","Groceries/",NA,-14.94
"421","12/02/2022","Office Expenses/",NA,-10.54
"422","12/02/2022","Dining/",NA,-12.72
"423","12/01/2022","Shopping/",NA,-12.71
"424","12/01/2022","Entertainment/",NA,-1.05
"425","12/01/2022","Groceries/",NA,-27.75
"426","12/01/2022","Transportation/",NA,-12
"427","11/30/2022","Health & Lifestyle/",NA,-7.5
"428","11/29/2022","Transportation/",NA,-16.87
"429","11/29/2022","Transportation/",NA,-10.11
"430","11/29/2022","Health & Lifestyle/",NA,-9.75
"431","11/28/2022","Entertainment/",NA,-10.54
"432","11/28/2022","Transportation/",NA,-61.96
"433","11/28/2022","Health & Lifestyle/",NA,-8.25
"434","11/25/2022","Payments & Transfers/",NA,-50
"435","11/25/2022","Transportation/",NA,-6.03
"436","11/25/2022","Health & Lifestyle/",NA,-1.5
"437","11/25/2022","Health & Lifestyle/",NA,-8.25
"438","11/23/2022","Savings & Investments/",NA,-30
"439","11/23/2022","Payments & Transfers/",NA,-84
"440","11/23/2022","Health & Lifestyle/",NA,-7.5
"441","11/23/2022","Transportation/",NA,-6.38
"442","11/23/2022","Transportation/",NA,-50.56
"443","11/23/2022","Paycheck, Pensions & Annuity/",543.01,NA
"444","11/21/2022","Transportation/",NA,-8.27
"445","11/21/2022","Groceries/",NA,-12.67
"446","11/21/2022","Dining/",NA,-2.5
"447","11/21/2022","Groceries/",NA,-10.59
"448","11/18/2022","Dining/",NA,-11.66
"449","11/17/2022","Groceries/",NA,-14.53
"450","11/16/2022","Groceries/",NA,-5.88
"451","11/16/2022","Health & Lifestyle/",NA,-8.25
"452","11/15/2022","Transportation/",NA,-2.94
"453","11/15/2022","Health & Lifestyle/",NA,-1.5
"454","11/15/2022","Health & Lifestyle/",NA,-8.25
"455","11/15/2022","Transportation/",NA,-7.48
"456","11/15/2022","Transportation/",NA,-55.07
"457","11/14/2022","Shopping/",NA,-15.77
"458","11/14/2022","Savings & Investments/",NA,-30
"459","11/14/2022","Dining/",NA,-6
"460","11/14/2022","Dining/",NA,-5
"461","11/14/2022","Dining/",NA,-5
"462","11/14/2022","Shopping/",NA,-22.26
"463","11/14/2022","Dining/",NA,-57.76
"464","11/14/2022","Groceries/",NA,-42.32
"465","11/10/2022","Dining/",NA,-2.5
"466","11/10/2022","Groceries/",NA,-13.59
"467","11/09/2022","Health & Lifestyle/",NA,-8.25
"468","11/09/2022","Paycheck, Pensions & Annuity/",456.34,NA
"469","11/08/2022","Transportation/",NA,-46.86
"470","11/08/2022","Health & Lifestyle/",NA,-0.75
"471","11/08/2022","Health & Lifestyle/",NA,-8.25
"472","11/07/2022","Transportation/",NA,-2.79
"473","11/07/2022","Transportation/",NA,-42.15
"474","11/07/2022","Dining/",NA,-6
"475","11/07/2022","Dining/",NA,-6
"476","11/07/2022","Groceries/",NA,-7.44
"477","11/07/2022","Groceries/",NA,-12.67
"478","11/07/2022","Groceries/",NA,-15.51
"479","11/07/2022","Dining/",NA,-6
"480","11/07/2022","Dining/",NA,-2.5
"481","11/07/2022","Groceries/",NA,-20.71
"482","11/04/2022","Dining/",NA,-2.6
"483","11/04/2022","Dining/",NA,-2.6
"484","11/04/2022","Dining/",NA,-12.72
"485","11/04/2022","Dining/",NA,-2.5
"486","11/03/2022","Payments & Transfers/",NA,-38
"487","11/03/2022","Dining/",NA,-5.57
"488","11/02/2022","Office Expenses/",NA,-10.54
"489","11/02/2022","Health & Lifestyle/",NA,-3.75
"490","11/01/2022","Entertainment/",NA,-1.05
"491","11/01/2022","Transportation/",NA,-13.14
"492","11/01/2022","Transportation/",NA,-40.19
"493","11/01/2022","Health & Lifestyle/",NA,-9.75
"494","10/31/2022","Transportation/",NA,-55.36
"495","10/31/2022","Dining/",NA,-8.4
"496","10/31/2022","Payments & Transfers/",NA,-50
"497","10/31/2022","Dining/",NA,-2.5
"498","10/28/2022","Entertainment/",NA,-10.54
"499","10/28/2022","Dining/",NA,-11
"500","10/28/2022","Dining/",NA,-10.83
"501","10/28/2022","Dining/",NA,-2.5
"502","10/26/2022","Health & Lifestyle/",NA,-8.25
"503","10/26/2022","Paycheck, Pensions & Annuity/",247.5,NA
"504","10/25/2022","Transportation/",NA,-6.91
"505","10/25/2022","Transportation/",NA,-47.73
"506","10/25/2022","Health & Lifestyle/",NA,-8.25
"507","10/24/2022","Groceries/",NA,-5.55
"508","10/24/2022","Transportation/",NA,-68.8
"509","10/24/2022","Dining/",NA,-8.36
"510","10/24/2022","Shopping/",NA,-29.68
"511","10/24/2022","Groceries/",NA,-29.25
"512","10/24/2022","Transportation/",NA,-1.5
"513","10/24/2022","Dining/",NA,-2.5
"514","10/24/2022","Entertainment/",NA,-29.75
"515","10/21/2022","Groceries/",NA,-70.8
"516","10/21/2022","Payments & Transfers/",NA,-85
"517","10/21/2022","Dining/",NA,-2.5
"518","10/20/2022","Groceries/",NA,-13.73
"519","10/20/2022","Dining/",NA,-5.25
"520","10/20/2022","Dining/",NA,-12.19
"521","10/19/2022","Health & Lifestyle/",NA,-8.25
"522","10/18/2022","Groceries/",NA,-23.49
"523","10/18/2022","Transportation/",NA,-57.42
"524","10/18/2022","Entertainment/",NA,-5.26
"525","10/18/2022","Health & Lifestyle/",NA,-8.25
"526","10/17/2022","Transportation/",NA,-66.99
"527","10/17/2022","Groceries/",NA,-10.56
"528","10/17/2022","Groceries/",NA,-11.12
"529","10/17/2022","Groceries/",NA,-20.13
"530","10/17/2022","Dining/",NA,-33.73
"531","10/14/2022","Dining/",NA,-2.5
"532","10/13/2022","Groceries/",NA,-12.78
"533","10/12/2022","Shopping/",NA,-15.77
"534","10/12/2022","Dining/",NA,-5.29
"535","10/12/2022","Transportation/",NA,-12
"536","10/12/2022","Paycheck, Pensions & Annuity/",557.32,NA
"537","10/11/2022","Entertainment/",NA,-5
"538","10/11/2022","Transportation/",NA,-47.09
"539","10/11/2022","Transportation/",NA,-7.68
"540","10/11/2022","Transportation/",NA,-48.54
"541","10/11/2022","Dining/",NA,-2.5
"542","10/11/2022","Transportation/",NA,-2
"543","10/07/2022","Fees & Charges/",NA,-0.25
"544","10/07/2022","Payments & Transfers/",NA,-8.43
"545","10/07/2022","Entertainment/",NA,-4.21
"546","10/07/2022","Groceries/",NA,-48.31
"547","10/06/2022","Payments & Transfers/",NA,-50
"548","10/06/2022","Groceries/",NA,-17.81
"549","10/06/2022","Groceries/",NA,-20.72
"550","10/06/2022","Transportation/",NA,-9.99
"551","10/04/2022","Fees & Charges/",NA,-0.16
"552","10/04/2022","Payments & Transfers/",NA,-5.28
"553","10/04/2022","Transportation/",NA,-68.95
"554","10/04/2022","Health & Lifestyle/",NA,-8.25
"555","10/03/2022","Office Expenses/",NA,-10.54
"556","10/03/2022","Shopping/",NA,-18.98
"557","10/03/2022","Entertainment/",NA,-1.05
"558","10/03/2022","Transportation/",NA,-44.7
